customer_id,gender,senior_citizen,partner,dependents,tenure,phone_service,multiple_lines,internet_service,online_security,tech_support,contract,paperless_billing,payment_method,monthly_charges,total_charges,sentiment_score,complaint_theme,churn
CUST-00001,Male,0,Yes,No,42,Yes,No,DSL,Yes,No,Two year,Yes,Mailed check,50.59,2153.49,-0.356,billing_dispute,0
CUST-00002,Female,1,Yes,Yes,68,Yes,Yes,DSL,Yes,No,Month-to-month,Yes,Electronic check,85.82,5882.26,0.509,contract_confusion,0
CUST-00003,Male,0,No,Yes,62,Yes,No,DSL,No,Yes,Two year,No,Bank transfer (automatic),114.42,7097.6,0.398,billing_dispute,0
CUST-00004,Male,0,Yes,No,69,Yes,No,Fiber optic,No,Yes,Two year,No,Bank transfer (automatic),38.81,2712.35,0.392,speed_issues,0
CUST-00005,Male,0,Yes,No,64,Yes,Yes,DSL,No,Yes,One year,Yes,Credit card (automatic),82.39,5301.12,0.246,none,0
CUST-00006,Female,1,Yes,No,66,Yes,Yes,No,No internet service,No internet service,One year,No,Bank transfer (automatic),44.54,2972.25,-0.019,service_outage,0
CUST-00007,Male,0,Yes,No,53,Yes,No,No,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),72.94,3876.6,0.31,speed_issues,1
CUST-00008,Male,0,No,No,35,No,No phone service,Fiber optic,No,No,Two year,Yes,Bank transfer (automatic),72.16,2529.13,0.642,none,0
CUST-00009,Male,0,No,No,70,No,No phone service,No,No internet service,No internet service,Two year,No,Mailed check,63.0,4413.74,-0.107,none,0
CUST-00010,Female,0,No,No,14,No,No phone service,DSL,No,No,Month-to-month,No,Electronic check,67.86,962.38,0.146,none,0
CUST-00011,Male,0,No,No,17,Yes,No,No,No internet service,No internet service,Month-to-month,Yes,Electronic check,106.02,1813.02,0.072,service_outage,0
CUST-00012,Male,0,No,No,3,Yes,No,No,No internet service,No internet service,Two year,Yes,Electronic check,26.86,86.9,0.269,none,1
CUST-00013,Male,0,No,No,10,Yes,Yes,DSL,Yes,Yes,Month-to-month,No,Bank transfer (automatic),101.03,1023.53,0.505,competitor_offer,0
CUST-00014,Male,0,No,No,5,Yes,No,No,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),64.23,347.85,0.271,service_outage,0
CUST-00015,Female,0,Yes,No,50,Yes,Yes,DSL,No,No,Month-to-month,No,Electronic check,51.36,2615.48,0.78,service_outage,0
CUST-00016,Male,0,No,No,57,Yes,Yes,DSL,Yes,Yes,Two year,Yes,Bank transfer (automatic),35.71,2081.58,0.026,service_outage,0
CUST-00017,Female,0,No,Yes,59,Yes,Yes,Fiber optic,No,Yes,One year,No,Mailed check,99.48,5882.91,0.469,billing_dispute,0
