customer_id,gender,senior_citizen,partner,dependents,tenure,phone_service,multiple_lines,internet_service,online_security,tech_support,contract,paperless_billing,payment_method,monthly_charges,total_charges,sentiment_score,complaint_theme,churn,tenure_group,revenue_risk,service_count,sentiment_tier,high_risk_complaint,manual_risk_score,gender_enc,partner_enc,dependents_enc,phone_service_enc,paperless_billing_enc,online_security_enc,tech_support_enc,contract_enc,internet_service_enc,payment_method_enc,complaint_severity,sentiment_tier_enc,churn_probability,churn_risk_label
CUST-00001,Male,0,Yes,No,42,Yes,No,DSL,Yes,No,Two year,Yes,Mailed check,50.59,2153.49,-0.356,billing_dispute,0,25-48m,1.177,3,negative,1,1.8,1,1,0,1,1,1,0,2,1,1,2,0,0.501,Medium
CUST-00002,Female,1,Yes,Yes,68,Yes,Yes,DSL,Yes,No,Month-to-month,Yes,Electronic check,85.82,5882.26,0.509,contract_confusion,0,49-72m,1.244,4,positive,0,2.0,0,1,1,1,1,1,0,0,1,0,1,2,0.3528,Medium
CUST-00003,Male,0,No,Yes,62,Yes,No,DSL,No,Yes,Two year,No,Bank transfer (automatic),114.42,7097.6,0.398,billing_dispute,0,49-72m,1.816,2,positive,1,0.8,1,0,1,1,0,0,1,2,1,2,2,2,0.2984,Low
CUST-00004,Male,0,Yes,No,69,Yes,No,Fiber optic,No,Yes,Two year,No,Bank transfer (automatic),38.81,2712.35,0.392,speed_issues,0,49-72m,0.554,2,positive,0,0.6,1,1,0,1,0,0,1,2,2,2,1,2,0.1261,Low
CUST-00005,Male,0,Yes,No,64,Yes,Yes,DSL,No,Yes,One year,Yes,Credit card (automatic),82.39,5301.12,0.246,none,0,49-72m,1.268,4,neutral,0,0.0,1,1,0,1,1,0,1,1,1,3,0,1,0.271,Low
CUST-00006,Female,1,Yes,No,66,Yes,Yes,No,No internet service,No internet service,One year,No,Bank transfer (automatic),44.54,2972.25,-0.019,service_outage,0,49-72m,0.665,2,neutral,1,0.8,0,1,0,1,0,0,0,1,0,2,2,1,0.1917,Low
CUST-00007,Male,0,Yes,No,53,Yes,No,No,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),72.94,3876.6,0.31,speed_issues,1,49-72m,1.351,1,neutral,0,1.5,1,1,0,1,0,0,0,0,0,2,1,1,0.5995,Medium
CUST-00008,Male,0,No,No,35,No,No phone service,Fiber optic,No,No,Two year,Yes,Bank transfer (automatic),72.16,2529.13,0.642,none,0,25-48m,2.004,1,positive,0,0.6,1,0,0,0,1,0,0,2,2,2,0,2,0.2033,Low
CUST-00009,Male,0,No,No,70,No,No phone service,No,No internet service,No internet service,Two year,No,Mailed check,63.0,4413.74,-0.107,none,0,49-72m,0.887,0,neutral,0,0.0,1,0,0,0,0,0,0,2,0,1,0,1,0.0678,Low
CUST-00010,Female,0,No,No,14,No,No phone service,DSL,No,No,Month-to-month,No,Electronic check,67.86,962.38,0.146,none,0,13-24m,4.524,0,neutral,0,2.0,0,0,0,0,0,0,0,0,1,0,0,1,0.8002,High
CUST-00011,Male,0,No,No,17,Yes,No,No,No internet service,No internet service,Month-to-month,Yes,Electronic check,106.02,1813.02,0.072,service_outage,0,13-24m,5.89,2,neutral,1,2.8,1,0,0,1,1,0,0,0,0,0,2,1,0.6815,High
CUST-00012,Male,0,No,No,3,Yes,No,No,No internet service,No internet service,Two year,Yes,Electronic check,26.86,86.9,0.269,none,1,0-12m,6.715,2,neutral,0,1.7,1,0,0,1,1,0,0,2,0,0,0,1,0.7301,High
